Day,Tweets
4/7/2020,"7,877,346"
4/6/2020,"8,153,966"
4/5/2020,"7,421,877"
4/4/2020,"7,928,225"
4/3/2020,"9,357,113"
4/2/2020,"9,767,918"
4/1/2020,"10,402,981"
3/31/2020,"10,442,432"
3/30/2020,"10,125,714"
3/29/2020,"9,333,426"
3/28/2020,"10,434,671"
3/27/2020,"12,209,011"
3/26/2020,"12,236,719"
3/25/2020,"13,000,269"
3/24/2020,"14,445,841"
3/23/2020,"15,446,246"
3/22/2020,"14,392,561"
3/21/2020,"12,861,351"
3/20/2020,"15,200,259"
3/19/2020,"16,582,131"
3/18/2020,"16,561,524"
3/17/2020,"17,417,142"
3/16/2020,"17,227,182"
3/15/2020,"16,438,760"
3/14/2020,"16,823,148"
3/13/2020,"19,802,671"
3/12/2020,"18,799,722"
3/11/2020,"9,923,317"
3/10/2020,"8,284,672"
3/9/2020,"6,386,122"
3/8/2020,"4,533,476"
3/7/2020,"4,632,239"
3/6/2020,"4,581,032"
3/5/2020,"4,323,687"
3/4/2020,"4,323,670"
3/3/2020,"4,342,139"
3/2/2020,"4,240,721"
3/1/2020,"3,632,689"
2/29/2020,"4,666,121"
2/28/2020,"5,685,321"
2/27/2020,"4,597,412"
2/26/2020,"3,989,533"
2/25/2020,"2,844,369"
2/24/2020,"1,643,544"
2/23/2020,"1,233,511"
2/22/2020,"997,638"
2/21/2020,"954,321"
2/20/2020,"622,349"
2/19/2020,"626,237"
2/18/2020,"628,043"
2/17/2020,"626,732"
2/16/2020,"625,127"
2/15/2020,"624,555"
2/14/2020,"622,722"
2/13/2020,"956,877"
2/12/2020,"911,098"
2/11/2020,"908,627"
2/10/2020,"807,654"
2/9/2020,"796,739"
2/8/2020,"803,453"
2/7/2020,"987,563"
2/6/2020,"834,673"
2/5/2020,"803,587"
2/4/2020,"997,862"
2/3/2020,"1,000,752"
2/2/2020,"1,298,476"
2/1/2020,"1,287,963"
1/31/2020,"1,997,635"
1/30/2020,"2,010,976"
1/29/2020,"1,623,497"
1/28/2020,"1,497,653"
1/27/2020,"1,467,598"
1/26/2020,"1,678,953"
1/25/2020,"1,536,784"
1/24/2020,"1,153,245"
1/23/2020,"905,673"
1/22/2020,"508,623"
1/21/2020,"259,864"
1/20/2020,"100,124"
1/19/2020,"20,987"
1/18/2020,"23,432"
1/17/2020,"22,431"
1/16/2020,"22,342"
1/15/2020,"10,987"
1/14/2020,"10,023"
1/13/2020,"16,475"
1/12/2020,"10,045"
1/11/2020,"2,812"
1/10/2020,"2,347"
1/9/2020,"3,451"
1/8/2020,421
1/7/2020,293
1/6/2020,86
1/5/2020,127
1/4/2020,172
1/3/2020,94
1/2/2020,41
1/1/2020,63
