trending,date
 #DETvsCOL,1/20/2020
 #2AShallNotBeInfringed,1/20/2020
 #dayofservice,1/20/2020
 #ExitSongs,1/20/2020
 #VALEG,1/20/2020
 #IRLForever,1/20/2020
 #BossWasKind,1/20/2020
 #AvsTwitterPsychic,1/20/2020
 #ThankYouIRL,1/20/2020
 #ICanKeepGoingOnAbout,1/20/2020
 #PenguinAwarenessDay,1/20/2020
 #InMyRockAndRollHallOfFame,1/20/2020
 #IEndorseBernie,1/20/2020
 #selfiesforjonah,1/20/2020
 #WallsMusicVideo,1/20/2020
 Fincastle,1/20/2020
 Larry Walker,1/20/2020
 On MLK,1/20/2020
 Def Jam,1/20/2020
 Bastion,1/20/2020
 LARPing,1/20/2020
 DJ Screw,1/20/2020
 DC Dean Pees,1/20/2020
 GI Joe,1/20/2020
 Civil Rights,1/20/2020
 Dying Light 2,1/20/2020
 Gammons,1/20/2020
 Clemens,1/20/2020
 Sierra Canyon,1/20/2020
 Studio Ghibli,1/20/2020
 Kerry Coombs,1/20/2020
 I Have a Dream,1/20/2020
 Pledge of Allegiance,1/20/2020
 Black Panthers,1/20/2020
 #MondayMood,1/20/2020
 David Lynch,1/20/2020
 Happy MLK,1/20/2020
 2nd Amendment,1/20/2020
 Chandler Parsons,1/20/2020
 #AskHalsey,1/20/2020
 Antifa,1/20/2020
 Baby Jabba,1/20/2020
 Richmond,1/20/2020
 #VirginiaRally,1/20/2020
 Aaron Rodgers,1/20/2020
 #GoNiners,1/20/2020
 Super Bowl,1/20/2020
 Packers,1/20/2020
 Chiefs,1/20/2020
 #MLKDay,1/20/2020
 #BTSTOUR2020,1/21/2020
 #NWFBCulture,1/21/2020
 #????????????_?????????,1/21/2020
 #tttxpn,1/21/2020
 #NattySeltzerParty,1/21/2020
 #HowWeHeal,1/21/2020
 #SDoLED20,1/21/2020
 #GOPCoverup,1/21/2020
 #WeWillFightForWonho,1/21/2020
 #iamup,1/21/2020
 #GDatCHANEL,1/21/2020
 #SeniorBowl,1/21/2020
 #ImpeachmentTrialRules,1/21/2020
 #21Ene,1/21/2020
 #DelonteWest,1/21/2020
 #nphsmusictrivia,1/21/2020
 #obstinate,1/21/2020
 #OtherJobsForDocBrown,1/21/2020
 #Fire_up_OneIt,1/21/2020
 #ZionistElection,1/21/2020
 #FelizMartes,1/21/2020
 #ShamTrial,1/21/2020
 #BlackClover118,1/21/2020
 #PastimesFromThe90s,1/21/2020
 #AskPK,1/21/2020
 #AtinySelcaDay,1/21/2020
 #WEF20,1/21/2020
 #IdStartARevolutionFor,1/21/2020
 #RE2PECT,1/21/2020
 #NationalHugDay,1/21/2020
